;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-06-17T19:00:00;1493.1537181095985;2550.5208291589856;23456.215572228542;7189.25864274992;2550.5208291589856;6113.632462206268;17973.146606874812;5101.041658317971;17592.161679171404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T20:00:00;1193.8925361847432;2831.686949173217;18755.06879109447;5748.371470519133;2831.686949173217;6787.591403823067;14370.928676297846;5663.373898346434;14066.301593320852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T21:00:00;2640.7484414224914;2842.505457270368;41483.98384089609;12714.714717960143;2842.505457270368;6813.523512096495;31786.786794900385;5685.010914540736;31112.987880672066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T22:00:00;1142.6694240712063;2618.309140533682;17950.395872664674;5501.741671453957;2618.309140533682;6276.121949153586;13754.354178634901;5236.618281067364;13462.796904498508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T23:00:00;1601.3132894570278;1983.1246066169613;25155.313388451454;7710.026949237543;1983.1246066169613;4753.576145312766;19275.067373093872;3966.2492132339225;18866.485041338594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T00:00:00;3498.956310340823;1688.6346816349894;52006.12631287106;16846.826679418777;1688.6346816349894;3955.57118690681;42117.06669854698;3377.269363269979;39004.594734653285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T01:00:00;3384.947764301756;1383.4295984357766;50311.58019106566;16297.896642934376;1383.4295984357766;3240.638320532542;40744.74160733597;2766.859196871553;37733.68514329923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T02:00:00;4789.635148708489;1292.6185777789615;71189.90591569789;23061.206271559393;1292.6185777789615;3027.9164922588866;57653.015678898526;2585.237155557923;53392.42943677341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T03:00:00;5124.854306465155;1370.6710252856453;76172.37734846899;24675.224438535926;1370.6710252856453;3210.7517826759126;61688.06109633985;2741.3420505712907;57129.28301135175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T04:00:00;4832.601055984407;2378.223051994523;71828.52217802007;23268.07915844344;2378.223051994523;5570.909257530308;58170.19789610864;4756.446103989046;53871.39163351504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T05:00:00;3289.869741765442;3490.8456811162428;48898.40460067944;15840.113571463238;3490.8456811162428;8177.191161792241;39600.283928658115;6981.6913622324855;36673.803450509564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T06:00:00;5204.830450701516;3761.277398278824;77361.08880704892;25060.294762636928;3761.277398278824;8810.668562243538;62650.73690659236;7522.554796557648;58020.81660528667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T07:00:00;5603.009551793189;3379.145624027351;83279.35436678719;26977.453397522768;3379.145624027351;7915.537452910183;67443.63349380696;6758.291248054702;62459.515775090396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-18T08:00:00;11441.693486070126;2975.9997292933085;170061.61377641093;55089.635303300594;2975.9997292933085;6971.181457695319;137724.08825825158;5951.999458586617;127546.21033230817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
