Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486205.30315336335;5638174.655005879
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486356.2918161506;5638463.037577524
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486192.9719701503;5638131.924274214
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486324.5952789395;5638129.755031013
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486317.0754923046;5638293.04316102
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486220.56234926614;5638557.408857131
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486594.97470558825;5638453.913928984
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486290.848525733;5638446.923843707
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486762.4727792436;5638269.844544669
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486300.9762522289;5638439.529949979
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486541.14857421094;5638402.7147219945
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486552.06811241497;5638404.5080250455
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486172.0829958354;5638540.73782588
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486170.37652265356;5638533.711196476
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486547.93951999024;5638451.230802821
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486525.2641223449;5638395.946623065
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486558.51572205854;5638475.454370485
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486575.2250762289;5638409.669326942
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486609.05397022894;5638456.768861934
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486322.51188140566;5638439.24825566
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486418.437867689;5638404.452083527
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486450.87970626506;5638398.0639914125
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486369.22258856276;5638442.603020422
