;waerme_hast_ges_W_1;waerme_hast_ges_W_2;waerme_hast_ges_W_3;waerme_hast_ges_W_4;waerme_hast_ges_W_5;waerme_hast_ges_W_6;waerme_hast_ges_W_7;waerme_hast_ges_W_8;waerme_hast_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-05-12T07:00:00;14623.872923625606;14623.872923625606;106805.76726663533;43580.1197929179;14623.872923625606;14623.872923625606;108950.29948229484;14623.872923625606;80104.3254499765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T08:00:00;18527.33720509265;14623.872923625606;218624.5248471134;89205.69765414982;14623.872923625606;14623.872923625606;223014.2441353746;14623.872923625606;163968.39363533503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T09:00:00;16792.195892796244;14623.872923625606;198149.67512941474;80851.31355790784;14623.872923625606;14623.872923625606;202128.28389476964;14623.872923625606;148612.25634706105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T10:00:00;15520.331337935257;14623.872923625606;183141.53980493126;74727.5212567253;14623.872923625606;14623.872923625606;186818.80314181338;14623.872923625606;137356.1548536984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T11:00:00;14623.872923625606;14623.872923625606;128584.523076511;52466.53867670024;14623.872923625606;14623.872923625606;131166.3466917507;14623.872923625606;96438.39230738323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T12:00:00;14623.872923625606;14623.872923625606;139976.08103046293;57114.653408387356;14623.872923625606;14623.872923625606;142786.63352096843;14623.872923625606;104982.0607728472;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T13:00:00;14623.872923625606;14623.872923625606;117941.83010793095;48123.98446488426;14623.872923625606;14623.872923625606;120309.96116221073;14623.872923625606;88456.3725809482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T14:00:00;14623.872923625606;14623.872923625606;85700.9899435944;34968.70537701963;14623.872923625606;14623.872923625606;87421.76344254911;14623.872923625606;64275.7424576958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T15:00:00;14623.872923625606;14623.872923625606;64094.032571539385;26152.3856713254;14623.872923625606;14623.872923625606;65380.964178313516;14623.872923625606;48070.524428654535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T16:00:00;14623.872923625606;14623.872923625606;62406.88381037789;25463.97579420391;14623.872923625606;14623.872923625606;63659.93948550981;14623.872923625606;46805.16285778341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T17:00:00;14623.872923625606;14623.872923625606;49222.45497968254;20084.313229648793;14623.872923625606;14623.872923625606;50210.78307412201;14623.872923625606;36916.8412347619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T18:00:00;14623.872923625606;14623.872923625606;40306.556565607236;16446.34562835927;14623.872923625606;14623.872923625606;41115.864070898184;14623.872923625606;30229.917424205425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T19:00:00;14623.872923625606;14623.872923625606;45953.879572941514;18750.631431152342;14623.872923625606;14623.872923625606;46876.578577880864;14623.872923625606;34465.40967970613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T20:00:00;14623.872923625606;14623.872923625606;53266.325900691016;21734.340036953043;14623.872923625606;14623.872923625606;54335.850092382614;14623.872923625606;39949.74442551826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T21:00:00;14623.872923625606;14623.872923625606;56112.01284510437;22895.47001246343;14623.872923625606;14623.872923625606;57238.6750311586;14623.872923625606;42084.009633828275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
