time_steps;Last_L;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-08-25 10:00:00;494.407791338222;494.407791338222;0.0;0.0;0.0
2021-08-25 11:00:00;388.9906424654229;388.9906424654229;0.0;0.0;0.0
2021-08-25 12:00:00;367.2798000855767;367.2798000855767;0.0;0.0;0.0
2021-08-25 13:00:00;314.1481729858016;314.1481729858016;0.0;0.0;0.0
2021-08-25 14:00:00;256.2708410867875;256.2708410867875;0.0;0.0;0.0
2021-08-25 15:00:00;212.2131503259711;212.2131503259711;0.0;0.0;0.0
2021-08-25 16:00:00;160.69252012213357;160.69252012213357;0.0;0.0;0.0
2021-08-25 17:00:00;159.18100211967013;159.18100211967013;0.0;0.0;0.0
2021-08-25 18:00:00;173.3779851800846;173.3779851800846;0.0;0.0;0.0
2021-08-25 19:00:00;170.05008037636733;170.05008037636733;0.0;0.0;0.0
2021-08-25 20:00:00;164.23718133296998;164.23718133296998;0.0;0.0;0.0
2021-08-25 21:00:00;169.4011852089348;169.4011852089348;0.0;0.0;0.0
2021-08-25 22:00:00;159.69997692443326;159.69997692443326;0.0;0.0;0.0
2021-08-25 23:00:00;188.67965201723743;188.67965201723743;0.0;0.0;0.0
2021-08-26 00:00:00;190.5172757787168;190.5172757787168;0.0;0.0;0.0
2021-08-26 01:00:00;225.4614739687083;225.4614739687083;0.0;0.0;0.0
2021-08-26 02:00:00;284.1657069145028;284.1657069145028;0.0;0.0;0.0
2021-08-26 03:00:00;292.35438481118973;292.35438481118973;0.0;0.0;0.0
2021-08-26 04:00:00;285.3144365887282;285.3144365887282;0.0;0.0;0.0
2021-08-26 05:00:00;223.24307738000772;223.24307738000772;0.0;0.0;0.0
2021-08-26 06:00:00;298.9838974630479;298.9838974630479;0.0;0.0;0.0
2021-08-26 07:00:00;314.3919872990372;314.3919872990372;0.0;0.0;0.0
2021-08-26 08:00:00;518.6411077117523;518.6411077117523;0.0;0.0;0.0
2021-08-26 09:00:00;490.8422485920405;490.8422485920405;0.0;0.0;0.0
2021-08-26 10:00:00;455.1210995266617;455.1210995266617;0.0;0.0;0.0
2021-08-26 11:00:00;395.91720963145696;395.91720963145696;0.0;0.0;0.0
2021-08-26 12:00:00;391.1014589364436;391.1014589364436;0.0;0.0;0.0
2021-08-26 13:00:00;330.4556662375751;330.4556662375751;0.0;0.0;0.0
2021-08-26 14:00:00;266.44164031401374;266.44164031401374;0.0;0.0;0.0
2021-08-26 15:00:00;215.5149378200496;215.5149378200496;0.0;0.0;0.0
2021-08-26 16:00:00;159.57095241385508;159.57095241385508;0.0;0.0;0.0
2021-08-26 17:00:00;158.44353258645265;158.44353258645265;0.0;0.0;0.0
2021-08-26 18:00:00;174.5790088290759;174.5790088290759;0.0;0.0;0.0
2021-08-26 19:00:00;167.40076696698677;167.40076696698677;0.0;0.0;0.0
2021-08-26 20:00:00;163.08481181585668;163.08481181585668;0.0;0.0;0.0
2021-08-26 21:00:00;171.56384057023294;171.56384057023294;0.0;0.0;0.0
2021-08-26 22:00:00;160.31264599786354;160.31264599786354;0.0;0.0;0.0
2021-08-26 23:00:00;191.09056244223936;191.09056244223936;0.0;0.0;0.0
2021-08-27 00:00:00;193.88348692543195;193.88348692543195;0.0;0.0;0.0
2021-08-27 01:00:00;259.05992107139986;259.05992107139986;0.0;0.0;0.0
2021-08-27 02:00:00;341.8939606156221;341.8939606156221;0.0;0.0;0.0
2021-08-27 03:00:00;361.25097472698354;361.25097472698354;0.0;0.0;0.0
2021-08-27 04:00:00;346.9046501810079;346.9046501810079;0.0;0.0;0.0
2021-08-27 05:00:00;242.8492780842865;242.8492780842865;0.0;0.0;0.0
2021-08-27 06:00:00;367.6450363849571;367.6450363849571;0.0;0.0;0.0
2021-08-27 07:00:00;381.2039231870216;381.2039231870216;0.0;0.0;0.0
2021-08-27 08:00:00;597.2090677933072;597.2090677933072;0.0;0.0;0.0
2021-08-27 09:00:00;555.6056694539017;555.6056694539017;0.0;0.0;0.0
2021-08-27 10:00:00;522.5229678989224;522.5229678989224;0.0;0.0;0.0
2021-08-27 11:00:00;407.7348736422982;407.7348736422982;0.0;0.0;0.0
2021-08-27 12:00:00;432.5645291967531;432.5645291967531;0.0;0.0;0.0
2021-08-27 13:00:00;384.3463105807387;384.3463105807387;0.0;0.0;0.0
2021-08-27 14:00:00;306.1338499913626;306.1338499913626;0.0;0.0;0.0
2021-08-27 15:00:00;255.28880818040517;255.28880818040517;0.0;0.0;0.0
2021-08-27 16:00:00;189.97487308126327;189.97487308126327;0.0;0.0;0.0
2021-08-27 17:00:00;218.0535509383596;218.0535509383596;0.0;0.0;0.0
2021-08-27 18:00:00;198.54511620344132;198.54511620344132;0.0;0.0;0.0
2021-08-27 19:00:00;212.0376019782151;212.0376019782151;0.0;0.0;0.0
2021-08-27 20:00:00;227.98546220631465;227.98546220631465;0.0;0.0;0.0
2021-08-27 21:00:00;237.16783437777048;237.16783437777048;0.0;0.0;0.0
2021-08-27 22:00:00;214.48339966741835;214.48339966741835;0.0;0.0;0.0
2021-08-27 23:00:00;187.42267495839783;187.42267495839783;0.0;0.0;0.0
2021-08-28 00:00:00;167.75680360261578;167.75680360261578;0.0;0.0;0.0
2021-08-28 01:00:00;185.55468466656745;185.55468466656745;0.0;0.0;0.0
2021-08-28 02:00:00;188.08311197461745;188.08311197461745;0.0;0.0;0.0
2021-08-28 03:00:00;200.42101409791744;200.42101409791744;0.0;0.0;0.0
2021-08-28 04:00:00;203.31964202778343;203.31964202778343;0.0;0.0;0.0
2021-08-28 05:00:00;203.957318414107;203.957318414107;0.0;0.0;0.0
2021-08-28 06:00:00;328.45496542791284;328.45496542791284;0.0;0.0;0.0
2021-08-28 07:00:00;424.0537691680972;424.0537691680972;0.0;0.0;0.0
2021-08-28 08:00:00;449.3215265323719;449.3215265323719;0.0;0.0;0.0
2021-08-28 09:00:00;426.6835328532624;426.6835328532624;0.0;0.0;0.0
2021-08-28 10:00:00;359.02648347984365;359.02648347984365;0.0;0.0;0.0
2021-08-28 11:00:00;304.2049672841541;304.2049672841541;0.0;0.0;0.0
