Building;Latitude;Longitude;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Blumenstraße 45;51.14787288544843;14.992117659763363;88.47336499799638;0.0;0.0;15.54;13.14
Blumenstraße 45;51.14787288544843;14.992117659763363;15.22489999752139;0.0;0.0;2.67;2.26
Sohrstraße 13;51.14732067296395;14.991547623802015;64.52613399909211;126.918634004399;3.174515801129138;3.47;4.42
Sohrstraße 13;51.14732067296395;14.991547623802015;50.996201499314544;52.96977592362539;0.6526215412471841;8.83;8.81
Sohrstraße 13;51.14732067296395;14.991547623802015;126.1291829973005;0.0;0.0;22.16;18.74
Blumenstraße 34;51.1476805750837;14.994158168692183;150.29218004657582;0.0;180.0;26.4;22.33
Blumenstraße 34;51.1476805750837;14.994158168692183;12.154424999461323;0.0;-0.0;2.14;1.81
Emmerichstraße 75;51.14694633852219;14.99387246418546;219.9337250361517;0.0;0.0;38.63;32.67
Emmerichstraße 75;51.14694633852219;14.99387246418546;35.68652500424615;0.0;0.0;6.27;5.3
Sohrstraße 4;51.147325194740795;14.991948473053133;42.98128849976526;58.882710898846376;0.39253142349890235;7.18;7.26
Sohrstraße 4;51.147325194740795;14.991948473053133;34.88716550089676;58.77417826195365;-179.5303729803674;3.3;6.07
Sohrstraße 4;51.147325194740795;14.991948473053133;110.62109850200672;0.0;0.0;19.43;16.43
Blumenstraße 42;51.14780392200867;14.992712782964517;104.94584999808501;37.72461289672041;-101.41408092074174;17.82;52.67
Blumenstraße 42;51.14780392200867;14.992712782964517;100.8036249960239;37.76420180860894;78.513820532507;14.8;14.66
Blumenstraße 42;51.14780392200867;14.992712782964517;12.432274997318187;0.0;-0.0;2.18;1.85
Emmerichstraße 65;51.14670915998893;14.991138396455277;105.20964099654178;23.029007065714676;95.81123175629419;16.27;14.73
Emmerichstraße 65;51.14670915998893;14.991138396455277;102.27119750399079;23.087600841237165;-84.32236914558271;18.73;37.73
Emmerichstraße 65;51.14670915998893;14.991138396455277;11.144180000335611;0.0;0.0;1.96;1.66
Sohrstraße 6;51.147063197433525;14.991959425514914;53.83345500150022;56.7623968579121;0.2373389348141397;9.13;9.18
Sohrstraße 6;51.147063197433525;14.991959425514914;46.37478499945495;58.420019427553676;179.457662639197;4.39;7.36
Sohrstraße 6;51.147063197433525;14.991959425514914;114.33256000144826;0.0;0.0;20.08;16.99
Blumenstraße 47;51.1477505617355;14.991231187541082;29.046439999052094;9.402776503584176;-118.55826961930165;5.1;5.41
Blumenstraße 47;51.1477505617355;14.991231187541082;26.712179999575945;8.83045553009963;81.61938677517273;4.56;3.95
Sohrstraße 12;51.147172516837465;14.991554363863234;108.60788800220664;30.65822601630901;0.9637159338429511;20.17;19.1
Sohrstraße 12;51.147172516837465;14.991554363863234;114.4029030011516;30.692336093746995;-179.11668282950492;15.73;13.69
Emmerichstraße 71;51.1471531182042;14.993166687630474;246.1597050030315;180.0;0.0;7.21;7.42
Emmerichstraße 75;51.14732912260348;14.993600111660298;96.44934999645744;0.0;-0.0;16.94;14.33
Emmerichstraße 73;51.14704539825998;14.993369234368465;49.81989999981558;5.428796112185363;95.20636404534999;8.55;7.28
James-von-Moltke-Straße 9;51.147838495875384;14.990668705240688;102.30626249737672;6.396782527096381;-98.11853187138439;18.24;15.59
James-von-Moltke-Straße 9;51.147838495875384;14.990668705240688;103.11698500754439;173.58980634221837;-99.46232374034766;3.09;13.1
James-von-Moltke-Straße 9;51.147838495875384;14.990668705240688;11.011618537364914;0.0;-0.0;1.93;1.64
James-von-Moltke-Straße 9;51.147838495875384;14.990668705240688;22.711644535498085;7.925863817659507;-8.239954439291823;4.13;3.62
Blumenstraße 30;51.147352916253006;14.99528872060831;28.68527500047665;0.0;0.0;5.04;4.26
Blumenstraße 40;51.147512049646515;14.993042379386488;28.79945000232932;6.9471913644771774;92.93367817310535;4.91;4.19
Emmerichstraße 69;51.1468747486226;14.99258542170256;51.24099974626343;56.83906791876726;89.22558956338231;6.19;6.58
Emmerichstraße 69;51.1468747486226;14.99258542170256;38.69476000022744;46.257875388149536;-84.35371587173528;6.71;20.82
Emmerichstraße 69;51.1468747486226;14.99258542170256;151.75075349772015;0.0;0.0;26.66;22.54
Emmerichstraße 69;51.1468747486226;14.99258542170256;42.58982950171539;0.0;0.0;7.48;6.33
Emmerichstraße 78;51.147072008848674;14.994448492741398;23.053100000681855;0.0;0.0;4.05;3.42
Blumenstraße 33;51.147654374982444;14.994333677119503;211.70224999601464;180.0;0.0;6.21;6.38
Sohrstraße 9;51.14686647305078;14.991531667912263;103.45680000199027;7.7166636020239965;90.63860818077143;17.61;15.08
Sohrstraße 8;51.1467743164161;14.991967058536167;270.95807500735526;0.0;0.0;47.6;40.25
James-von-Moltke-Straße 8;51.14797886457863;14.990695019598357;103.28905700117892;28.852476758612653;171.993653426024;14.27;10.86
James-von-Moltke-Straße 8;51.14797886457863;14.990695019598357;110.60515656074043;28.54724833010567;-7.6979674974363546;20.82;19.46
James-von-Moltke-Straße 8;51.14797886457863;14.990695019598357;105.70080499746756;10.987241880354794;81.89146173458995;17.86;15.67
Blumenstraße 39;51.14774828022962;14.993293926825315;151.71730002330673;0.0;-0.0;26.65;22.54
Blumenstraße 39;51.14774828022962;14.993293926825315;22.09680499942833;0.0;-0.0;3.88;3.28
Blumenstraße 47;51.14794982301989;14.991169185310438;120.6539744867648;24.787069828195236;80.10852148060984;19.1;17.92
Blumenstraße 47;51.14794982301989;14.991169185310438;115.59796047207759;24.61394445458735;-112.17319617393902;19.92;44.56
Blumenstraße 47;51.14794982301989;14.991169185310438;11.922950034638472;0.0;-0.0;2.09;1.77
Blumenstraße 47;51.14794982301989;14.991169185310438;7.7705365565794215;40.06296961775883;81.47492088895537;1.11;1.11
Blumenstraße 47;51.14794982301989;14.991169185310438;12.125902500826164;40.05769453590585;-98.52997900464932;2.06;6.19
James-von-Moltke-Straße 16;51.14682594229914;14.990757446906576;104.96119222728981;74.78518047438786;-72.4196975109186;15.76;61.37
James-von-Moltke-Straße 16;51.14682594229914;14.990757446906576;96.73677799854002;34.84796950485373;-174.13749618124538;12.84;17.32
James-von-Moltke-Straße 16;51.14682594229914;14.990757446906576;24.84454943337282;33.94781604350513;6.515076916292706;4.55;4.36
James-von-Moltke-Straße 16;51.14682594229914;14.990757446906576;22.667205006923485;0.0;0.0;3.98;3.37
James-von-Moltke-Straße 16;51.14682594229914;14.990757446906576;23.990370452818482;5.1505563164733585;6.419211301897869;4.3;3.73
Blumenstraße 35;51.14769904850293;14.993993499922542;150.63440510497102;0.0;180.0;26.46;22.38
Blumenstraße 35;51.14769904850293;14.993993499922542;9.114835002307975;21.0497755577414;-102.32109943602761;1.62;3.32
Blumenstraße 35;51.14769904850293;14.993993499922542;9.3908000007783;68.79809606963181;-3.576386645456556;1.47;1.5
Blumenstraße 44;51.14749945546196;14.992519558722098;35.705136999179686;0.0;0.0;6.27;5.3
